"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"United Kingdom (UK)","09.04.2023 14:30 - 09.04.2023 15:00 (CET/CEST)","n/e","n/e","n/e","n/e","113","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","663"
"United Kingdom (UK)","09.04.2023 15:00 - 09.04.2023 15:30 (CET/CEST)","n/e","n/e","n/e","n/e","113","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","661"
"United Kingdom (UK)","09.04.2023 15:30 - 09.04.2023 16:00 (CET/CEST)","n/e","n/e","n/e","n/e","112","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","663"
"United Kingdom (UK)","09.04.2023 16:00 - 09.04.2023 16:30 (CET/CEST)","n/e","n/e","n/e","n/e","115","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","722"
"United Kingdom (UK)","09.04.2023 16:30 - 09.04.2023 17:00 (CET/CEST)","n/e","n/e","n/e","n/e","114","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","744"
"United Kingdom (UK)","09.04.2023 17:00 - 09.04.2023 17:30 (CET/CEST)","n/e","n/e","n/e","n/e","117","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","774"
"United Kingdom (UK)","09.04.2023 17:30 - 09.04.2023 18:00 (CET/CEST)","n/e","n/e","n/e","n/e","117","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","713"
"United Kingdom (UK)","09.04.2023 18:00 - 09.04.2023 18:30 (CET/CEST)","n/e","n/e","n/e","n/e","120","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","703"
"United Kingdom (UK)","09.04.2023 18:30 - 09.04.2023 19:00 (CET/CEST)","n/e","n/e","n/e","n/e","115","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","478"
"United Kingdom (UK)","09.04.2023 19:00 - 09.04.2023 19:30 (CET/CEST)","n/e","n/e","n/e","n/e","113","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","479"
"United Kingdom (UK)","09.04.2023 19:30 - 09.04.2023 20:00 (CET/CEST)","n/e","n/e","n/e","n/e","116","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","425"
"United Kingdom (UK)","09.04.2023 20:00 - 09.04.2023 20:30 (CET/CEST)","n/e","n/e","n/e","n/e","116","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","290"
"United Kingdom (UK)","09.04.2023 20:30 - 09.04.2023 21:00 (CET/CEST)","n/e","n/e","n/e","n/e","113","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","281"
"United Kingdom (UK)","09.04.2023 21:00 - 09.04.2023 21:30 (CET/CEST)","n/e","n/e","n/e","n/e","116","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","270"
"United Kingdom (UK)","09.04.2023 21:30 - 09.04.2023 22:00 (CET/CEST)","n/e","n/e","n/e","n/e","112","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","255"
"United Kingdom (UK)","09.04.2023 22:00 - 09.04.2023 22:30 (CET/CEST)","n/e","n/e","n/e","n/e","118","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","216"
"United Kingdom (UK)","09.04.2023 22:30 - 09.04.2023 23:00 (CET/CEST)","n/e","n/e","n/e","n/e","113","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","193"
"United Kingdom (UK)","09.04.2023 23:00 - 09.04.2023 23:30 (CET/CEST)","n/e","n/e","n/e","n/e","113","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","166"
"United Kingdom (UK)","09.04.2023 23:30 - 10.04.2023 00:00 (CET/CEST)","n/e","n/e","n/e","n/e","112","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","155"
"United Kingdom (UK)","10.04.2023 00:00 - 10.04.2023 00:30 (CET/CEST)","n/e","n/e","n/e","n/e","118","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","145"
"United Kingdom (UK)","10.04.2023 00:30 - 10.04.2023 01:00 (CET/CEST)","n/e","n/e","n/e","n/e","114","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","241"
"United Kingdom (UK)","10.04.2023 01:00 - 10.04.2023 01:30 (CET/CEST)","n/e","n/e","n/e","n/e","113","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","202"
"United Kingdom (UK)","10.04.2023 01:30 - 10.04.2023 02:00 (CET/CEST)","n/e","n/e","n/e","n/e","115","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","174"
"United Kingdom (UK)","10.04.2023 02:00 - 10.04.2023 02:30 (CET/CEST)","n/e","n/e","n/e","n/e","117","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","234"
"United Kingdom (UK)","10.04.2023 02:30 - 10.04.2023 03:00 (CET/CEST)","n/e","n/e","n/e","n/e","112","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","233"
"United Kingdom (UK)","10.04.2023 03:00 - 10.04.2023 03:30 (CET/CEST)","n/e","n/e","n/e","n/e","114","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","319"
"United Kingdom (UK)","10.04.2023 03:30 - 10.04.2023 04:00 (CET/CEST)","n/e","n/e","n/e","n/e","116","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","273"
"United Kingdom (UK)","10.04.2023 04:00 - 10.04.2023 04:30 (CET/CEST)","n/e","n/e","n/e","n/e","117","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","273"
"United Kingdom (UK)","10.04.2023 04:30 - 10.04.2023 05:00 (CET/CEST)","n/e","n/e","n/e","n/e","116","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","277"
"United Kingdom (UK)","10.04.2023 05:00 - 10.04.2023 05:30 (CET/CEST)","n/e","n/e","n/e","n/e","111","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","282"
"United Kingdom (UK)","10.04.2023 05:30 - 10.04.2023 06:00 (CET/CEST)","n/e","n/e","n/e","n/e","114","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","273"
"United Kingdom (UK)","10.04.2023 06:00 - 10.04.2023 06:30 (CET/CEST)","n/e","n/e","n/e","n/e","117","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","315"
"United Kingdom (UK)","10.04.2023 06:30 - 10.04.2023 07:00 (CET/CEST)","n/e","n/e","n/e","n/e","117","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","288"
"United Kingdom (UK)","10.04.2023 07:00 - 10.04.2023 07:30 (CET/CEST)","n/e","n/e","n/e","n/e","113","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","379"
"United Kingdom (UK)","10.04.2023 07:30 - 10.04.2023 08:00 (CET/CEST)","n/e","n/e","n/e","n/e","114","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","345"
"United Kingdom (UK)","10.04.2023 08:00 - 10.04.2023 08:30 (CET/CEST)","n/e","n/e","n/e","n/e","109","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","300"
"United Kingdom (UK)","10.04.2023 08:30 - 10.04.2023 09:00 (CET/CEST)","n/e","n/e","n/e","n/e","112","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","341"
"United Kingdom (UK)","10.04.2023 09:00 - 10.04.2023 09:30 (CET/CEST)","n/e","n/e","n/e","n/e","111","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","336"
"United Kingdom (UK)","10.04.2023 09:30 - 10.04.2023 10:00 (CET/CEST)","n/e","n/e","n/e","n/e","111","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","278"
"United Kingdom (UK)","10.04.2023 10:00 - 10.04.2023 10:30 (CET/CEST)","n/e","n/e","n/e","n/e","110","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","266"
"United Kingdom (UK)","10.04.2023 10:30 - 10.04.2023 11:00 (CET/CEST)","n/e","n/e","n/e","n/e","109","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","231"
"United Kingdom (UK)","10.04.2023 11:00 - 10.04.2023 11:30 (CET/CEST)","n/e","n/e","n/e","n/e","106","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","248"
"United Kingdom (UK)","10.04.2023 11:30 - 10.04.2023 12:00 (CET/CEST)","n/e","n/e","n/e","n/e","115","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","242"
"United Kingdom (UK)","10.04.2023 12:00 - 10.04.2023 12:30 (CET/CEST)","n/e","n/e","n/e","n/e","114","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","277"
"United Kingdom (UK)","10.04.2023 12:30 - 10.04.2023 13:00 (CET/CEST)","n/e","n/e","n/e","n/e","112","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","289"
"United Kingdom (UK)","10.04.2023 13:00 - 10.04.2023 13:30 (CET/CEST)","n/e","n/e","n/e","n/e","110","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","293"
"United Kingdom (UK)","10.04.2023 13:30 - 10.04.2023 14:00 (CET/CEST)","n/e","n/e","n/e","n/e","116","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","295"
"United Kingdom (UK)","10.04.2023 14:00 - 10.04.2023 14:30 (CET/CEST)","n/e","n/e","n/e","n/e","111","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","265"
"United Kingdom (UK)","10.04.2023 14:30 - 10.04.2023 15:00 (CET/CEST)","n/e","n/e","n/e","n/e","110","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","267"
"United Kingdom (UK)","10.04.2023 15:00 - 10.04.2023 15:30 (CET/CEST)","n/e","n/e","n/e","n/e","111","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","276"
"United Kingdom (UK)","10.04.2023 15:30 - 10.04.2023 16:00 (CET/CEST)","n/e","n/e","n/e","n/e","112","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","260"
"United Kingdom (UK)","10.04.2023 16:00 - 10.04.2023 16:30 (CET/CEST)","n/e","n/e","n/e","n/e","112","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","294"
"United Kingdom (UK)","10.04.2023 16:30 - 10.04.2023 17:00 (CET/CEST)","n/e","n/e","n/e","n/e","114","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","332"
"United Kingdom (UK)","10.04.2023 17:00 - 10.04.2023 17:30 (CET/CEST)","n/e","n/e","n/e","n/e","113","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","374"
"United Kingdom (UK)","10.04.2023 17:30 - 10.04.2023 18:00 (CET/CEST)","n/e","n/e","n/e","n/e","115","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","448"
"United Kingdom (UK)","10.04.2023 18:00 - 10.04.2023 18:30 (CET/CEST)","n/e","n/e","n/e","n/e","112","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","519"
"United Kingdom (UK)","10.04.2023 18:30 - 10.04.2023 19:00 (CET/CEST)","n/e","n/e","n/e","n/e","112","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","483"
"United Kingdom (UK)","10.04.2023 19:00 - 10.04.2023 19:30 (CET/CEST)","n/e","n/e","n/e","n/e","113","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","516"
"United Kingdom (UK)","10.04.2023 19:30 - 10.04.2023 20:00 (CET/CEST)","n/e","n/e","n/e","n/e","109","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","526"
"United Kingdom (UK)","10.04.2023 20:00 - 10.04.2023 20:30 (CET/CEST)","n/e","n/e","n/e","n/e","116","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","526"
"United Kingdom (UK)","10.04.2023 20:30 - 10.04.2023 21:00 (CET/CEST)","n/e","n/e","n/e","n/e","109","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","438"
"United Kingdom (UK)","10.04.2023 21:00 - 10.04.2023 21:30 (CET/CEST)","n/e","n/e","n/e","n/e","111","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","405"
"United Kingdom (UK)","10.04.2023 21:30 - 10.04.2023 22:00 (CET/CEST)","n/e","n/e","n/e","n/e","113","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","318"
"United Kingdom (UK)","10.04.2023 22:00 - 10.04.2023 22:30 (CET/CEST)","n/e","n/e","n/e","n/e","115","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","305"
"United Kingdom (UK)","10.04.2023 22:30 - 10.04.2023 23:00 (CET/CEST)","n/e","n/e","n/e","n/e","113","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","250"
"United Kingdom (UK)","10.04.2023 23:00 - 10.04.2023 23:30 (CET/CEST)","n/e","n/e","n/e","n/e","115","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","205"
"United Kingdom (UK)","10.04.2023 23:30 - 11.04.2023 00:00 (CET/CEST)","n/e","n/e","n/e","n/e","111","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","146"
"United Kingdom (UK)","11.04.2023 00:00 - 11.04.2023 00:30 (CET/CEST)","n/e","n/e","n/e","n/e","113","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","151"
"United Kingdom (UK)","11.04.2023 00:30 - 11.04.2023 01:00 (CET/CEST)","n/e","n/e","n/e","n/e","114","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","93"
"United Kingdom (UK)","11.04.2023 01:00 - 11.04.2023 01:30 (CET/CEST)","n/e","n/e","n/e","n/e","116","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","102"
"United Kingdom (UK)","11.04.2023 01:30 - 11.04.2023 02:00 (CET/CEST)","n/e","n/e","n/e","n/e","113","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","110"
"United Kingdom (UK)","11.04.2023 02:00 - 11.04.2023 02:30 (CET/CEST)","n/e","n/e","n/e","n/e","111","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","114"
"United Kingdom (UK)","11.04.2023 02:30 - 11.04.2023 03:00 (CET/CEST)","n/e","n/e","n/e","n/e","109","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","113"
"United Kingdom (UK)","11.04.2023 03:00 - 11.04.2023 03:30 (CET/CEST)","n/e","n/e","n/e","n/e","111","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","111"
"United Kingdom (UK)","11.04.2023 03:30 - 11.04.2023 04:00 (CET/CEST)","n/e","n/e","n/e","n/e","112","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","107"
"United Kingdom (UK)","11.04.2023 04:00 - 11.04.2023 04:30 (CET/CEST)","n/e","n/e","n/e","n/e","110","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","158"
"United Kingdom (UK)","11.04.2023 04:30 - 11.04.2023 05:00 (CET/CEST)","n/e","n/e","n/e","n/e","110","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","152"
"United Kingdom (UK)","11.04.2023 05:00 - 11.04.2023 05:30 (CET/CEST)","n/e","n/e","n/e","n/e","109","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","237"
"United Kingdom (UK)","11.04.2023 05:30 - 11.04.2023 06:00 (CET/CEST)","n/e","n/e","n/e","n/e","110","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","196"
"United Kingdom (UK)","11.04.2023 06:00 - 11.04.2023 06:30 (CET/CEST)","n/e","n/e","n/e","n/e","111","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","304"
"United Kingdom (UK)","11.04.2023 06:30 - 11.04.2023 07:00 (CET/CEST)","n/e","n/e","n/e","n/e","112","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","282"
"United Kingdom (UK)","11.04.2023 07:00 - 11.04.2023 07:30 (CET/CEST)","n/e","n/e","n/e","n/e","108","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","213"
"United Kingdom (UK)","11.04.2023 07:30 - 11.04.2023 08:00 (CET/CEST)","n/e","n/e","n/e","n/e","111","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","197"
"United Kingdom (UK)","11.04.2023 08:00 - 11.04.2023 08:30 (CET/CEST)","n/e","n/e","n/e","n/e","114","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","175"
"United Kingdom (UK)","11.04.2023 08:30 - 11.04.2023 09:00 (CET/CEST)","n/e","n/e","n/e","n/e","128","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","167"
"United Kingdom (UK)","11.04.2023 09:00 - 11.04.2023 09:30 (CET/CEST)","n/e","n/e","n/e","n/e","134","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","203"
"United Kingdom (UK)","11.04.2023 09:30 - 11.04.2023 10:00 (CET/CEST)","n/e","n/e","n/e","n/e","130","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","242"
"United Kingdom (UK)","11.04.2023 10:00 - 11.04.2023 10:30 (CET/CEST)","n/e","n/e","n/e","n/e","132","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","252"
"United Kingdom (UK)","11.04.2023 10:30 - 11.04.2023 11:00 (CET/CEST)","n/e","n/e","n/e","n/e","129","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","300"
"United Kingdom (UK)","11.04.2023 11:00 - 11.04.2023 11:30 (CET/CEST)","n/e","n/e","n/e","n/e","129","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","357"
"United Kingdom (UK)","11.04.2023 11:30 - 11.04.2023 12:00 (CET/CEST)","n/e","n/e","n/e","n/e","115","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","383"
"United Kingdom (UK)","11.04.2023 12:00 - 11.04.2023 12:30 (CET/CEST)","n/e","n/e","n/e","n/e","113","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","478"
"United Kingdom (UK)","11.04.2023 12:30 - 11.04.2023 13:00 (CET/CEST)","n/e","n/e","n/e","n/e","111","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","587"
"United Kingdom (UK)","11.04.2023 13:00 - 11.04.2023 13:30 (CET/CEST)","n/e","n/e","n/e","n/e","113","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","611"
"United Kingdom (UK)","11.04.2023 13:30 - 11.04.2023 14:00 (CET/CEST)","n/e","n/e","n/e","n/e","112","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","630"
"United Kingdom (UK)","11.04.2023 14:00 - 11.04.2023 14:30 (CET/CEST)","n/e","n/e","n/e","n/e","115","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","593"
"United Kingdom (UK)","11.04.2023 14:30 - 11.04.2023 15:00 (CET/CEST)","n/e","n/e","n/e","n/e","117","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","512"
"United Kingdom (UK)","11.04.2023 15:00 - 11.04.2023 15:30 (CET/CEST)","n/e","n/e","n/e","n/e","127","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","452"
"United Kingdom (UK)","11.04.2023 15:30 - 11.04.2023 16:00 (CET/CEST)","n/e","n/e","n/e","n/e","113","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","396"
"United Kingdom (UK)","11.04.2023 16:00 - 11.04.2023 16:30 (CET/CEST)","n/e","n/e","n/e","n/e","117","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","405"
"United Kingdom (UK)","11.04.2023 16:30 - 11.04.2023 17:00 (CET/CEST)","n/e","n/e","n/e","n/e","159","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","498"
"United Kingdom (UK)","11.04.2023 17:00 - 11.04.2023 17:30 (CET/CEST)","n/e","n/e","n/e","n/e","173","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","563"
"United Kingdom (UK)","11.04.2023 17:30 - 11.04.2023 18:00 (CET/CEST)","n/e","n/e","n/e","n/e","172","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","607"
"United Kingdom (UK)","11.04.2023 18:00 - 11.04.2023 18:30 (CET/CEST)","n/e","n/e","n/e","n/e","171","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","671"
"United Kingdom (UK)","11.04.2023 18:30 - 11.04.2023 19:00 (CET/CEST)","n/e","n/e","n/e","n/e","174","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","663"
"United Kingdom (UK)","11.04.2023 19:00 - 11.04.2023 19:30 (CET/CEST)","n/e","n/e","n/e","n/e","177","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","658"
"United Kingdom (UK)","11.04.2023 19:30 - 11.04.2023 20:00 (CET/CEST)","n/e","n/e","n/e","n/e","178","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","764"
"United Kingdom (UK)","11.04.2023 20:00 - 11.04.2023 20:30 (CET/CEST)","n/e","n/e","n/e","n/e","175","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","749"
"United Kingdom (UK)","11.04.2023 20:30 - 11.04.2023 21:00 (CET/CEST)","n/e","n/e","n/e","n/e","173","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","848"
