setting,region,emissions_kg,index_normalized
Unmanaged,GB,15789.092217,100.00
Opportunistic,GB,14966.741094,94.79
GPE,GB,15564.264021,98.58
Unmanaged,DE,20838.824839,100.00
Opportunistic,DE,19889.546584,95.44
GPE,DE,20591.695384,98.81
Unmanaged,FR,2206.623895,100.00
Opportunistic,FR,2125.227458,96.31
GPE,FR,2178.510965,98.73
Geo-GPE,Portfolio,8521.337593,65.83
