setting,region,emissions_kg,index_normalized
Unmanaged,GB,15789.092217,100.00
Opportunistic,GB,14966.741094,94.79
GPE,GB,15625.700448,98.97
Unmanaged,DE,20838.824839,100.00
Opportunistic,DE,19889.546584,95.44
GPE,DE,20658.321160,99.13
Geo-GPE,Portfolio,16352.048589,89.29
