setting,region,emissions_kg,index_normalized
Unmanaged,GB,15789.092217,100.00
Opportunistic,GB,14966.741094,94.79
GPE,GB,15641.611722,99.07
Unmanaged,DE,20838.824839,100.00
Opportunistic,DE,19889.546584,95.44
GPE,DE,20675.822970,99.22
Unmanaged,FR,2206.623895,100.00
Opportunistic,FR,2125.227458,96.31
GPE,FR,2187.136526,99.12
Geo-GPE,Portfolio,9406.039471,72.66
