setting,region,emissions_kg,index_normalized
Unmanaged,GB,15789.092217,100.00
Opportunistic,GB,14966.741094,94.79
GPE,GB,15582.035552,98.69
Unmanaged,DE,20838.824839,100.00
Opportunistic,DE,19889.546584,95.44
GPE,DE,20551.897353,98.62
Unmanaged,FR,2206.623895,100.00
Opportunistic,FR,2125.227458,96.31
GPE,FR,2172.794690,98.47
Geo-GPE,Portfolio,8691.899358,67.15
