setting,region,emissions_kg
Unmanaged,DE,21092.607379
Opportunistic,DE,20135.416704
GPE,DE,20911.541381
Unmanaged,FR,2231.788302
Opportunistic,FR,2149.557255
GPE,FR,2210.129205
Geo-GPE,Portfolio,8092.724654
