setting,region,emissions_kg,index_normalized
Unmanaged,GB,15789.092217,100.00
Opportunistic,GB,14966.741094,94.79
GPE,GB,15704.150854,99.46
Unmanaged,DE,20838.824839,100.00
Opportunistic,DE,19889.546584,95.44
GPE,DE,20751.336088,99.58
Unmanaged,FR,2206.623895,100.00
Opportunistic,FR,2125.227458,96.31
GPE,FR,2192.557895,99.36
Geo-GPE,Portfolio,9092.779455,70.24
