setting,region,emissions_kg,index_normalized
Unmanaged,GB,15789.092217,100.00
Opportunistic,GB,14966.741094,94.79
GPE,GB,15613.607751,98.89
Unmanaged,DE,20838.824839,100.00
Opportunistic,DE,19889.546584,95.44
GPE,DE,20650.499499,99.10
Unmanaged,FR,2206.623895,100.00
Opportunistic,FR,2125.227458,96.31
GPE,FR,2183.646239,98.96
Geo-GPE,Portfolio,8166.129602,63.08
